,state,action,reward,next_state,fare,comm_rate,discount,Marketing
0,[[0 0]],1,0.0,[[0 0]],1.2,0.05,0.0,True
1,[[0 0]],2,7.8398200000000005,[[19  3]],1.2,0.05,0.0,True
2,[[19  3]],2,14.007259999999999,[[44  2]],1.2,0.05,0.0,True
3,[[44  2]],1,0.0,[[49  3]],1.2,0.0,0.0,True
4,[[49  3]],1,0.0,[[75  6]],1.2,0.0,0.0,True
5,[[75  6]],1,0.0,[[83  8]],1.2,0.0,0.0,True
6,[[83  8]],0,39.52942,[[103  11]],1.2,0.05,0.0,True
7,[[103  11]],0,85.43732000000001,[[121  14]],1.2,0.1,0.0,True
8,[[121  14]],1,45.80158,[[124   9]],1.2,0.05,0.0,True
9,[[124   9]],1,0.0,[[121   9]],1.2,0.0,0.0,True
10,[[121   9]],0,48.15816000000001,[[132  17]],1.2,0.05,0.0,True
11,[[132  17]],2,57.76922,[[155  14]],1.2,0.05,0.0,True
12,[[155  14]],2,53.511520000000004,[[142  14]],1.2,0.05,0.0,True
13,[[142  14]],2,49.0193,[[134  22]],1.2,0.05,0.0,True
14,[[134  22]],0,113.96516000000001,[[148  14]],1.2,0.1,0.0,True
15,[[148  14]],2,113.49868000000001,[[149  15]],1.2,0.1,0.0,True
16,[[149  15]],0,181.0245,[[172  10]],1.2,0.15,0.0,True
17,[[172  10]],1,118.16692000000002,[[152  10]],1.2,0.1,0.0,True
18,[[152  10]],1,67.01104000000001,[[184  14]],1.2,0.05,0.0,True
19,[[184  14]],2,58.53702,[[162  19]],1.2,0.05,0.0,True
20,[[162  19]],1,0.0,[[151  21]],1.2,0.0,0.0,True
21,[[151  21]],1,0.0,[[164  17]],1.2,0.0,0.0,True
22,[[164  17]],1,0.0,[[151  17]],1.2,0.0,0.0,True
23,[[151  17]],0,59.58014,[[158  18]],1.2,0.05,0.0,True
24,[[158  18]],2,58.253980000000006,[[166   9]],1.2,0.05,0.0,True
25,[[166   9]],1,0.0,[[178  12]],1.2,0.0,0.0,True
26,[[178  12]],2,0.0,[[153  15]],1.2,0.0,0.0,True
27,[[153  15]],2,0.0,[[155  16]],1.2,0.0,0.0,True
28,[[155  16]],0,54.695139999999995,[[148  22]],1.2,0.05,0.0,True
29,[[148  22]],2,51.6104,[[140  17]],1.2,0.05,0.0,True
30,[[140  17]],0,129.52820000000003,[[175  14]],1.2,0.1,0.0,True
31,[[175  14]],2,136.02396,[[177  15]],1.2,0.1,0.0,True
32,[[177  15]],0,202.51691999999997,[[183  19]],1.2,0.15,0.0,True
33,[[183  19]],0,203.82128,[[146  15]],1.2,0.2,0.0,True
34,[[146  15]],0,299.393,[[163  28]],1.2,0.25,0.0,True
35,[[163  28]],2,312.7078,[[173  19]],1.2,0.25,0.0,True
36,[[173  19]],1,212.28096,[[150  19]],1.2,0.2,0.0,True
37,[[150  19]],1,196.75439999999998,[[183  17]],1.2,0.15,0.0,True
38,[[183  17]],0,252.24248,[[167  23]],1.2,0.2,0.0,True
39,[[167  23]],1,170.76833999999997,[[150  13]],1.2,0.15,0.0,True
40,[[150  13]],0,273.39264000000003,[[183  19]],1.2,0.2,0.0,True
41,[[183  19]],1,141.85476,[[144  15]],1.2,0.15,0.0,True
42,[[144  15]],2,170.41986,[[156  11]],1.2,0.15,0.0,True
43,[[156  11]],2,156.75936,[[149  18]],1.2,0.15,0.0,True
44,[[149  18]],1,124.31676000000002,[[168  17]],1.2,0.1,0.0,True
45,[[168  17]],1,64.39328,[[167  14]],1.2,0.05,0.0,True
46,[[167  14]],1,0.0,[[186  19]],1.2,0.0,0.0,True
47,[[186  19]],2,0.0,[[173  16]],1.2,0.0,0.0,True
48,[[173  16]],2,0.0,[[161  15]],1.2,0.0,0.0,True
49,[[161  15]],2,0.0,[[171  21]],1.2,0.0,0.0,True
50,[[171  21]],2,0.0,[[154  21]],1.2,0.0,0.0,True
51,[[154  21]],0,61.64108,[[170  20]],1.2,0.05,0.0,True
52,[[170  20]],1,0.0,[[160  17]],1.2,0.0,0.0,True
53,[[160  17]],2,0.0,[[178  22]],1.2,0.0,0.0,True
54,[[178  22]],1,0.0,[[176  20]],1.2,0.0,0.0,True
55,[[176  20]],1,0.0,[[182  16]],1.2,0.0,0.0,True
56,[[182  16]],2,0.0,[[170  23]],1.2,0.0,0.0,True
57,[[170  23]],2,0.0,[[181  14]],1.2,0.0,0.0,True
58,[[181  14]],1,0.0,[[170  17]],1.2,0.0,0.0,True
59,[[170  17]],0,70.13884,[[190  15]],1.2,0.05,0.0,True
60,[[190  15]],1,0.0,[[158  17]],1.2,0.0,0.0,True
61,[[158  17]],0,74.21298,[[195  17]],1.2,0.05,0.0,True
62,[[195  17]],0,133.00932,[[189  21]],1.2,0.1,0.0,True
63,[[189  21]],2,140.21108,[[193  14]],1.2,0.1,0.0,True
64,[[193  14]],2,116.01264,[[168  16]],1.2,0.1,0.0,True
65,[[168  16]],1,58.9857,[[159  21]],1.2,0.05,0.0,True
66,[[159  21]],2,74.60390000000001,[[197  18]],1.2,0.05,0.0,True
67,[[197  18]],1,0.0,[[189  23]],1.2,0.0,0.0,True
68,[[189  23]],2,0.0,[[208  17]],1.2,0.0,0.0,True
69,[[208  17]],0,62.83638,[[171  26]],1.2,0.05,0.0,True
70,[[171  26]],1,0.0,[[198  20]],1.2,0.0,0.0,True
71,[[198  20]],0,69.94198,[[199  23]],1.2,0.05,0.0,True
72,[[199  23]],1,0.0,[[208  21]],1.2,0.0,0.0,True
73,[[208  21]],0,71.76348,[[204  19]],1.2,0.05,0.0,True
74,[[204  19]],0,161.39376000000001,[[216  17]],1.2,0.1,0.0,True
75,[[216  17]],1,71.64088,[[199  27]],1.2,0.05,0.0,True
76,[[199  27]],2,68.09698,[[196  24]],1.2,0.05,0.0,True
77,[[196  24]],2,60.82588,[[175  22]],1.2,0.05,0.0,True
78,[[175  22]],0,171.81688,[[236  28]],1.2,0.1,0.0,True
79,[[236  28]],0,221.96231999999998,[[219  19]],1.2,0.15,0.0,True
80,[[219  19]],1,148.53388,[[203  17]],1.2,0.1,0.0,True
81,[[203  17]],0,212.18957999999998,[[204  18]],1.2,0.15,0.0,True
82,[[204  18]],0,273.00616,[[199  10]],1.2,0.2,0.0,True
83,[[199  10]],0,339.70859999999993,[[201  30]],1.2,0.25,0.0,True
84,[[201  30]],2,340.0613,[[193  18]],1.2,0.25,0.0,True
85,[[193  18]],1,294.63216,[[213  21]],1.2,0.2,0.0,True
86,[[213  21]],2,272.79143999999997,[[201  16]],1.2,0.2,0.0,True
87,[[201  16]],1,238.90998,[[229  23]],1.2,0.15,0.0,True
88,[[229  23]],0,338.11800000000005,[[237  20]],1.2,0.2,0.0,True
89,[[237  20]],1,250.83257999999995,[[233  16]],1.2,0.15,0.0,True
90,[[233  16]],2,227.13095999999996,[[220  20]],1.2,0.15,0.0,True
91,[[220  20]],1,142.2804,[[207  30]],1.2,0.1,0.0,True
92,[[207  30]],2,142.13592,[[207  21]],1.2,0.1,0.0,True
93,[[207  21]],1,75.64232000000001,[[230  16]],1.2,0.05,0.0,True
94,[[230  16]],2,77.36334,[[234  27]],1.2,0.05,0.0,True
95,[[234  27]],2,77.87606,[[221  18]],1.2,0.05,0.0,True
96,[[221  18]],1,0.0,[[222  17]],1.2,0.0,0.0,True
97,[[222  17]],2,0.0,[[228  19]],1.2,0.0,0.0,True
98,[[228  19]],1,0.0,[[234  17]],1.2,0.0,0.0,True
