hex_address,sim1,sim2,sim3,sim4,sim5,ave_max
871968240ffffff,0.0,0.0,1.0,0.0,1.0,0.4
871968241ffffff,1.0,1.0,1.0,1.0,1.0,1.0
871968244ffffff,1.0,1.0,1.0,1.0,1.0,1.0
871968245ffffff,1.0,1.0,1.0,1.0,1.0,1.0
871968248ffffff,1.0,1.0,1.0,1.0,1.0,1.0
871968249ffffff,1.0,1.0,1.0,1.0,1.0,1.0
87196824cffffff,1.0,1.0,1.0,1.0,1.0,1.0
87196824dffffff,1.0,1.0,1.0,1.0,1.0,1.0
871968263ffffff,0.0,0.0,0.0,0.0,0.0,0.0
871968268ffffff,1.0,1.0,1.0,1.0,1.0,1.0
871968269ffffff,1.0,1.0,1.0,1.0,1.0,1.0
87196826affffff,1.0,1.0,1.0,1.0,1.0,1.0
87196826bffffff,1.0,1.0,1.0,1.0,1.0,1.0
87196826cffffff,1.0,1.0,1.0,1.0,1.0,1.0
87196826dffffff,1.0,0.5,1.0,1.0,1.0,0.9
87196826effffff,1.0,1.0,1.0,0.0,0.0,0.6
871969504ffffff,0.5,1.0,1.0,1.0,1.0,0.9
871969506ffffff,1.0,1.0,1.0,1.0,1.0,1.0
871969514ffffff,1.0,1.0,1.0,1.0,1.0,1.0
871969520ffffff,1.0,1.0,1.0,1.0,1.0,1.0
871969521ffffff,1.0,1.0,1.0,1.0,1.0,1.0
871969522ffffff,1.0,1.0,1.0,1.0,1.0,1.0
871969523ffffff,1.0,1.0,1.0,1.0,1.0,1.0
871969524ffffff,1.0,1.0,1.0,1.0,1.0,1.0
871969525ffffff,1.0,1.0,0.5,1.0,0.5,0.8
871969526ffffff,1.0,1.0,1.0,1.0,1.0,1.0
871969530ffffff,1.0,1.0,1.0,1.0,1.0,1.0
871969531ffffff,1.0,1.0,1.0,0.2,1.0,0.8400000000000001
871969532ffffff,1.0,1.0,1.0,1.0,1.0,1.0
871969533ffffff,1.0,1.0,1.0,1.0,1.0,1.0
871969534ffffff,1.0,1.0,1.0,1.0,1.0,1.0
871969535ffffff,1.0,1.0,1.0,1.0,1.0,1.0
871969536ffffff,1.0,1.0,1.0,1.0,1.0,1.0
871969c81ffffff,0.0,0.0,0.0,0.0,1.0,0.2
871969c83ffffff,1.0,1.0,1.0,1.0,1.0,1.0
871969c88ffffff,1.0,1.0,1.0,1.0,1.0,1.0
871969c89ffffff,1.0,1.0,1.0,1.0,1.0,1.0
871969c8affffff,1.0,1.0,1.0,1.0,1.0,1.0
871969c8bffffff,1.0,1.0,1.0,1.0,1.0,1.0
871969c8cffffff,1.0,1.0,1.0,1.0,1.0,1.0
871969c8dffffff,1.0,1.0,1.0,1.0,1.0,1.0
871969c8effffff,0.0,1.0,1.0,1.0,1.0,0.8
871969c91ffffff,1.0,1.0,1.0,1.0,1.0,1.0
871969c93ffffff,1.0,1.0,1.0,1.0,1.0,1.0
871969c98ffffff,1.0,1.0,1.0,1.0,1.0,1.0
871969c99ffffff,1.0,1.0,1.0,1.0,1.0,1.0
871969c9affffff,1.0,1.0,1.0,1.0,1.0,1.0
871969c9bffffff,1.0,1.0,1.0,1.0,1.0,1.0
871969c9cffffff,1.0,1.0,1.0,1.0,1.0,1.0
871969c9dffffff,1.0,1.0,1.0,1.0,1.0,1.0
871969c9effffff,1.0,1.0,1.0,1.0,1.0,1.0
871969cabffffff,1.0,1.0,1.0,1.0,1.0,1.0
871969cd0ffffff,0.0,0.0,0.0,0.0,0.0,0.0
871969cd2ffffff,0.0,0.0,0.0,0.0,0.0,0.0
871969cd6ffffff,0.0,0.0,0.0,0.0,0.0,0.0
